candidate_id,ticker,evaluation_date,horizon_id,evidence_status,overall_valuation_status,overall_quality_profitability_status,price_to_earnings_canonical_formula_status,price_to_book_canonical_formula_status,price_to_earnings_vendor_reference_status,price_to_book_vendor_reference_status,dividend_yield_status,incremental_evidence_status,candidate_overall_readiness_status,revision_diagnostic_status,technical_ml_baseline_status,comparison_status,limitations,manual_review_required,source_artifact,lineage_ref
sc_v1_3_high_turnover,000660,2026-05-12,missing_horizon_id,partial_diagnostic_ready,reference_only_after_evaluation_date,diagnostic_ready,blocked_by_reconciliation,blocked_by_reconciliation,reference_only_after_evaluation_date,reference_only_after_evaluation_date,diagnostic_ready,skipped_missing_baseline_artifacts,partial_diagnostic_ready,insufficient_data,skipped_missing_baseline_artifacts,skipped_missing_baseline_artifacts,valuation_score_not_consumed|v1_6_consumes_status_flags_only|per_pbr_blocked_by_reconciliation_allowed|vendor_reference_only_not_formula_verified|adjusted_price_policy_not_disclosed_by_naver_main|historical_evaluation_before_first_vendor_snapshot|incremental_evidence_status=skipped_missing_baseline_artifacts|diagnostic_missing_pit_revision_fields|available_at_missing;estimate_as_of_date_missing;eps_estimate_1m_ago_missing;eps_estimate_3m_ago_missing;analyst_revision_up_count_1m_missing;analyst_revision_down_count_1m_missing;sector_id_missing;sector_revision_percentile_missing;chart_financial_cache_is_not_revision_history|feature_readiness=price_to_earnings:blocked_by_reconciliation;price_to_book:blocked_by_reconciliation;roe:diagnostic_ready;operating_margin:diagnostic_ready;net_margin:diagnostic_ready;debt_ratio:diagnostic_ready;dividend_yield:diagnostic_ready|skipped_missing_candidate_overlap|candidate_overlapping_technical_ml_baseline_missing,true,chart_mvp\data\v1_5_valuation\v1_6_readiness_status_handoff_from_v1_5_latest.csv|chart_mvp\data\v1_3_liquidity\v1_3_candidate_liquidity_handoff_records_latest.csv|chart_mvp\data\v1_4_revision\v1_4_candidate_revision_diagnostic_handoff_latest.csv|chart_mvp\data\v1_5_valuation\v1_5_feature_level_readiness_latest.csv|chart_mvp\data\v1_5_valuation\v1_5_incremental_valuation_real_comparison_latest.csv,v1_5_to_v1_6_handoff|rolling_rank_slot_desc_average_traded_value_20d;rank_scope=full_local_kospi200_daily_universe_files;rank_slot=1;as_of_date=2026-05-12;source=data/000660_daily_prices.csv|chart_mvp_financial_statement_cache:000660:000660_financial_statements.csv|v1_5_feature_level_readiness|ee_v1_0_rc_sc_v1_3_high_turnover_1d_5101aca49335
sc_v1_3_low_drag,005380,2026-05-12,missing_horizon_id,partial_diagnostic_ready,reference_only_after_evaluation_date,diagnostic_ready,blocked_by_reconciliation,blocked_by_reconciliation,reference_only_after_evaluation_date,reference_only_after_evaluation_date,diagnostic_ready,skipped_missing_baseline_artifacts,partial_diagnostic_ready,insufficient_data,skipped_missing_baseline_artifacts,skipped_missing_baseline_artifacts,valuation_score_not_consumed|v1_6_consumes_status_flags_only|per_pbr_blocked_by_reconciliation_allowed|vendor_reference_only_not_formula_verified|adjusted_price_policy_not_disclosed_by_naver_main|historical_evaluation_before_first_vendor_snapshot|incremental_evidence_status=skipped_missing_baseline_artifacts|diagnostic_missing_pit_revision_fields|available_at_missing;estimate_as_of_date_missing;eps_estimate_1m_ago_missing;eps_estimate_3m_ago_missing;analyst_revision_up_count_1m_missing;analyst_revision_down_count_1m_missing;sector_id_missing;sector_revision_percentile_missing;chart_financial_cache_is_not_revision_history|feature_readiness=price_to_earnings:blocked_by_reconciliation;price_to_book:blocked_by_reconciliation;roe:diagnostic_ready;operating_margin:diagnostic_ready;net_margin:diagnostic_ready;debt_ratio:diagnostic_ready;dividend_yield:diagnostic_ready|skipped_missing_candidate_overlap|candidate_overlapping_technical_ml_baseline_missing,true,chart_mvp\data\v1_5_valuation\v1_6_readiness_status_handoff_from_v1_5_latest.csv|chart_mvp\data\v1_3_liquidity\v1_3_candidate_liquidity_handoff_records_latest.csv|chart_mvp\data\v1_4_revision\v1_4_candidate_revision_diagnostic_handoff_latest.csv|chart_mvp\data\v1_5_valuation\v1_5_feature_level_readiness_latest.csv|chart_mvp\data\v1_5_valuation\v1_5_incremental_valuation_real_comparison_latest.csv,v1_5_to_v1_6_handoff|rolling_rank_slot_desc_average_traded_value_20d;rank_scope=full_local_kospi200_daily_universe_files;rank_slot=4;candidate=sc_v1_3_low_drag;as_of_date=2026-05-12;source=data/005380_daily_prices.csv|chart_mvp_financial_statement_cache:005380:005380_financial_statements.csv|v1_5_feature_level_readiness|ee_v1_0_rc_sc_v1_3_low_drag_1d_3955d197ec26
sc_v1_3_missing_liquidity,005930,2026-05-12,missing_horizon_id,partial_diagnostic_ready,reference_only_after_evaluation_date,diagnostic_ready,blocked_by_reconciliation,blocked_by_reconciliation,reference_only_after_evaluation_date,reference_only_after_evaluation_date,diagnostic_ready,skipped_missing_baseline_artifacts,partial_diagnostic_ready,insufficient_data,skipped_missing_baseline_artifacts,skipped_missing_baseline_artifacts,valuation_score_not_consumed|v1_6_consumes_status_flags_only|per_pbr_blocked_by_reconciliation_allowed|vendor_reference_only_not_formula_verified|adjusted_price_policy_not_disclosed_by_naver_main|historical_evaluation_before_first_vendor_snapshot|incremental_evidence_status=skipped_missing_baseline_artifacts|diagnostic_missing_pit_revision_fields|available_at_missing;estimate_as_of_date_missing;eps_estimate_1m_ago_missing;eps_estimate_3m_ago_missing;analyst_revision_up_count_1m_missing;analyst_revision_down_count_1m_missing;sector_id_missing;sector_revision_percentile_missing;chart_financial_cache_is_not_revision_history|feature_readiness=price_to_earnings:blocked_by_reconciliation;price_to_book:blocked_by_reconciliation;roe:diagnostic_ready;operating_margin:diagnostic_ready;net_margin:diagnostic_ready;debt_ratio:diagnostic_ready;dividend_yield:diagnostic_ready|skipped_missing_candidate_overlap|candidate_overlapping_technical_ml_baseline_missing,true,chart_mvp\data\v1_5_valuation\v1_6_readiness_status_handoff_from_v1_5_latest.csv|chart_mvp\data\v1_3_liquidity\v1_3_candidate_liquidity_handoff_records_latest.csv|chart_mvp\data\v1_4_revision\v1_4_candidate_revision_diagnostic_handoff_latest.csv|chart_mvp\data\v1_5_valuation\v1_5_feature_level_readiness_latest.csv|chart_mvp\data\v1_5_valuation\v1_5_incremental_valuation_real_comparison_latest.csv,v1_5_to_v1_6_handoff|rolling_rank_slot_desc_average_traded_value_20d;rank_scope=full_local_kospi200_daily_universe_files;rank_slot=2;as_of_date=2026-05-12;source=data/005930_daily_prices.csv|chart_mvp_financial_statement_cache:005930:005930_financial_statements.csv|v1_5_feature_level_readiness|ee_v1_0_rc_sc_v1_3_missing_liquidity_1d_189794a48a70
