schema_version,candidate_id,ticker,evaluation_date,horizon_count,horizon_ids,horizon_stability_status,reason_codes,source_artifact,lineage_ref,manual_review_only_notice
v1_6,sc_v1_3_high_turnover,000660,2026-05-12,1,missing_horizon_id,insufficient_horizon_coverage,limited_quality_evidence;manual_review_only,chart_mvp\data\v1_5_valuation\v1_6_readiness_status_handoff_from_v1_5_latest.csv|chart_mvp\data\v1_3_liquidity\v1_3_candidate_liquidity_handoff_records_latest.csv|chart_mvp\data\v1_4_revision\v1_4_candidate_revision_diagnostic_handoff_latest.csv|chart_mvp\data\v1_5_valuation\v1_5_feature_level_readiness_latest.csv|chart_mvp\data\v1_5_valuation\v1_5_incremental_valuation_real_comparison_latest.csv,v1_5_to_v1_6_handoff|rolling_rank_slot_desc_average_traded_value_20d;rank_scope=full_local_kospi200_daily_universe_files;rank_slot=1;as_of_date=2026-05-12;source=data/000660_daily_prices.csv|chart_mvp_financial_statement_cache:000660:000660_financial_statements.csv|v1_5_feature_level_readiness|ee_v1_0_rc_sc_v1_3_high_turnover_1d_5101aca49335,"manual_review_priority is a human review queue category, not an automated ordering or action instruction"
v1_6,sc_v1_3_low_drag,005380,2026-05-12,1,missing_horizon_id,insufficient_horizon_coverage,limited_quality_evidence;manual_review_only,chart_mvp\data\v1_5_valuation\v1_6_readiness_status_handoff_from_v1_5_latest.csv|chart_mvp\data\v1_3_liquidity\v1_3_candidate_liquidity_handoff_records_latest.csv|chart_mvp\data\v1_4_revision\v1_4_candidate_revision_diagnostic_handoff_latest.csv|chart_mvp\data\v1_5_valuation\v1_5_feature_level_readiness_latest.csv|chart_mvp\data\v1_5_valuation\v1_5_incremental_valuation_real_comparison_latest.csv,v1_5_to_v1_6_handoff|rolling_rank_slot_desc_average_traded_value_20d;rank_scope=full_local_kospi200_daily_universe_files;rank_slot=4;candidate=sc_v1_3_low_drag;as_of_date=2026-05-12;source=data/005380_daily_prices.csv|chart_mvp_financial_statement_cache:005380:005380_financial_statements.csv|v1_5_feature_level_readiness|ee_v1_0_rc_sc_v1_3_low_drag_1d_3955d197ec26,"manual_review_priority is a human review queue category, not an automated ordering or action instruction"
v1_6,sc_v1_3_missing_liquidity,005930,2026-05-12,1,missing_horizon_id,insufficient_horizon_coverage,limited_quality_evidence;manual_review_only,chart_mvp\data\v1_5_valuation\v1_6_readiness_status_handoff_from_v1_5_latest.csv|chart_mvp\data\v1_3_liquidity\v1_3_candidate_liquidity_handoff_records_latest.csv|chart_mvp\data\v1_4_revision\v1_4_candidate_revision_diagnostic_handoff_latest.csv|chart_mvp\data\v1_5_valuation\v1_5_feature_level_readiness_latest.csv|chart_mvp\data\v1_5_valuation\v1_5_incremental_valuation_real_comparison_latest.csv,v1_5_to_v1_6_handoff|rolling_rank_slot_desc_average_traded_value_20d;rank_scope=full_local_kospi200_daily_universe_files;rank_slot=2;as_of_date=2026-05-12;source=data/005930_daily_prices.csv|chart_mvp_financial_statement_cache:005930:005930_financial_statements.csv|v1_5_feature_level_readiness|ee_v1_0_rc_sc_v1_3_missing_liquidity_1d_189794a48a70,"manual_review_priority is a human review queue category, not an automated ordering or action instruction"
