fold_index,train_start_date,train_end_date,eval_start_date,eval_end_date,train_count,evaluation_count,eval_label_available_count,brier_score,log_loss,calibration_error,calibration_mean_probability,calibration_observed_rate,coverage,nan_missing_rate,missing_row_rate,feature_stability_mean_abs_shift,feature_stability_max_abs_shift,split_mode,candidate_only_diagnostic
1,2026-02-01,2026-02-04,2026-02-05,2026-02-05,12,3,3,0.5834884784464686,1.7960358055872838,0.5376545485211093,0.8709878818544426,0.3333333333333333,1.0,0.0,0.0,1.81959456251739,1.9278607813754975,time_ordered_expanding_window,True
2,2026-02-01,2026-02-05,2026-02-06,2026-02-06,15,3,3,0.23788581917087837,0.6687461645503513,0.48645055946405924,0.5135494405359408,1.0,1.0,0.0,0.0,1.8484750894924753,1.9167244545075603,time_ordered_expanding_window,True
3,2026-02-01,2026-02-06,2026-02-07,2026-02-07,18,3,3,0.21288807042025967,0.6089662405823141,0.10349894375560964,0.7701656104222763,0.6666666666666666,1.0,0.0,0.0,1.8504523750307413,1.9014565744603553,time_ordered_expanding_window,True
4,2026-02-01,2026-02-07,2026-02-08,2026-02-08,21,3,3,0.447882506375701,1.1706261071000248,0.44897522242321813,0.7823085557565514,0.3333333333333333,1.0,0.0,0.0,1.8442904477220665,1.8935510285848227,time_ordered_expanding_window,True
5,2026-02-01,2026-02-08,2026-02-09,2026-02-09,24,3,3,0.1836347309901615,0.5593066529074565,0.42802219077571146,0.5719778092242885,1.0,1.0,0.0,0.0,1.8398012377084694,1.8840237053681557,time_ordered_expanding_window,True
