fold_index,calibration_bin,bin_lower,bin_upper,count,mean_probability,observed_positive_rate,absolute_calibration_error
1,4,0.75,1.0,3,0.8709878818544426,0.3333333333333333,0.5376545485211093
2,2,0.25,0.5,1,0.47613322129074404,1.0,0.5238667787092559
2,3,0.5,0.75,2,0.532257550158539,1.0,0.46774244984146096
3,3,0.5,0.75,1,0.739233231322811,0.0,0.739233231322811
3,4,0.75,1.0,2,0.7856317999720089,1.0,0.21436820002799106
4,3,0.5,0.75,1,0.7472359838864471,1.0,0.2527640161135529
4,4,0.75,1.0,2,0.7998448416916037,0.0,0.7998448416916037
5,3,0.5,0.75,3,0.5719778092242885,1.0,0.42802219077571146
