ticker,as_of_date,decision_time,prob_up_1d_candidate,prob_up_1d_candidate_status,prob_up_1d_candidate_sample_role,model_version,model_type,model_train_count,model_evaluation_count,model_feature_count,feature_set_version,feature_schema_version,feature_schema_columns,label_contract_version,adjusted_close_source_field,adjusted_close_approved_aliases,adjusted_close_canonical_source_status,prob_up_1d_feature_status,prob_up_1d_feature_valid_count,feature_expected_count,feature_coverage_ratio,data_quality_flag,candidate_packet_type
005930,2026-02-10,2026-02-10,0.7817736909751918,candidate_probability,candidate_unlabeled,candidate_logistic_v0_2,transparent_logistic_regression,20,7,8,v0_2_candidate_ml_score,v0_2_candidate_ml_score,short_term_overreaction_raw|atr_adjusted_oversold_distance_raw|rsi_price_divergence_raw|realized_vol_percentile_raw|donchian_breakout_distance_raw|bollinger_width_squeeze_raw|cmf_confirmation_raw|efficiency_ratio_trend_raw,adjusted_close_up_1d_v0_2,adjusted_close,adj_close,canonical_or_approved_alias,ready,8,8,1.0,ready,candidate_sidecar_selection_packet
000660,2026-02-10,2026-02-10,0.7712701313802638,candidate_probability,candidate_unlabeled,candidate_logistic_v0_2,transparent_logistic_regression,20,7,8,v0_2_candidate_ml_score,v0_2_candidate_ml_score,short_term_overreaction_raw|atr_adjusted_oversold_distance_raw|rsi_price_divergence_raw|realized_vol_percentile_raw|donchian_breakout_distance_raw|bollinger_width_squeeze_raw|cmf_confirmation_raw|efficiency_ratio_trend_raw,adjusted_close_up_1d_v0_2,adjusted_close,adj_close,canonical_or_approved_alias,ready,8,8,1.0,ready,candidate_sidecar_selection_packet
035420,2026-02-10,2026-02-10,0.7641233467364122,candidate_probability,candidate_unlabeled,candidate_logistic_v0_2,transparent_logistic_regression,20,7,8,v0_2_candidate_ml_score,v0_2_candidate_ml_score,short_term_overreaction_raw|atr_adjusted_oversold_distance_raw|rsi_price_divergence_raw|realized_vol_percentile_raw|donchian_breakout_distance_raw|bollinger_width_squeeze_raw|cmf_confirmation_raw|efficiency_ratio_trend_raw,adjusted_close_up_1d_v0_2,adjusted_close,adj_close,canonical_or_approved_alias,ready,8,8,1.0,ready,candidate_sidecar_selection_packet
