schema_version,collection_boundary,as_of_date,ticker,company_name,market_cap_proxy,market_cap_status,shares_outstanding,krx_close,krx_trading_value,average_traded_value_20d,average_traded_value_window_start,average_traded_value_window_end,average_traded_value_status,source_ref,local_liquidity_source_ref,no_feedback_check
v1_3_approved_local_market_cap_snapshot_0_1,"v1.3 candidate liquidity handoff support only; not scoring, ranking, trading, or production activation",2025-03-31,005930,삼성전자,342155071891600,present,5919637922,57800,1029323854400,1200518825895.0,2025-03-04,2025-03-31,pass_ge_5b_krw,krx_pykrx_market_cap_snapshot_20250331,approved_local_liquidity_snapshot_20250331_20d,snapshot_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption
v1_3_approved_local_market_cap_snapshot_0_1,"v1.3 candidate liquidity handoff support only; not scoring, ranking, trading, or production activation",2025-03-31,000660,SK하이닉스,138830051005500,present,728002365,190700,876621938700,644229961245.0,2025-03-04,2025-03-31,pass_ge_5b_krw,krx_pykrx_market_cap_snapshot_20250331,approved_local_liquidity_snapshot_20250331_20d,snapshot_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption
v1_3_approved_local_market_cap_snapshot_0_1,"v1.3 candidate liquidity handoff support only; not scoring, ranking, trading, or production activation",2025-03-31,005380,현대차,41296872865200,present,209416191,197200,185729892700,153305571090.0,2025-03-04,2025-03-31,pass_ge_5b_krw,krx_pykrx_market_cap_snapshot_20250331,approved_local_liquidity_snapshot_20250331_20d,snapshot_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption
v1_3_approved_local_market_cap_snapshot_0_1,"v1.3 candidate liquidity handoff support only; not scoring, ranking, trading, or production activation",2025-03-31,373220,LG에너지솔루션,78273000000000,present,234000000,334500,191966296250,94761105800.0,2025-03-04,2025-03-31,pass_ge_5b_krw,krx_pykrx_market_cap_snapshot_20250331,approved_local_liquidity_snapshot_20250331_20d,snapshot_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption
v1_3_approved_local_market_cap_snapshot_0_1,"v1.3 candidate liquidity handoff support only; not scoring, ranking, trading, or production activation",2025-03-31,402340,SK스퀘어,12473388430400,present,133548056,93400,42101940850,24601512305.0,2025-03-04,2025-03-31,pass_ge_5b_krw,krx_pykrx_market_cap_snapshot_20250331,approved_local_liquidity_snapshot_20250331_20d,snapshot_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption
